fips,QAT,ECU,SEN,NED,ENG,IRN,WAL,ARG,KSA,MEX,POL,FRA,AUS,DEN,TUN,ESP,CRC,GER,JPN,BEL,CAN,MAR,CRO,BRA,SRB,SUI,CMR,POR,GHA,URU,KOR
48077,0.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,214.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48397,0.0,0.0,0.0,0.0,61.0,70.0,113.0,0.0,0.0,3155.0,27.0,130.0,0.0,0.0,5.0,127.0,130.0,146.0,23.0,0.0,322.0,20.0,0.0,75.0,0.0,0.0,42.0,0.0,0.0,0.0,254.0
29021,0.0,0.0,0.0,3.0,11.0,8.0,0.0,27.0,33.0,1049.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,29.0,9.0,0.0,23.0,15.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,52.0
01059,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,1094.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29185,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22015,9.0,27.0,0.0,0.0,28.0,0.0,74.0,0.0,0.0,1184.0,0.0,8.0,0.0,0.0,0.0,0.0,32.0,114.0,107.0,0.0,29.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,15.0,0.0,243.0
29051,0.0,0.0,0.0,0.0,41.0,25.0,0.0,0.0,0.0,376.0,0.0,0.0,0.0,24.0,0.0,4.0,0.0,168.0,36.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,0.0,56.0
47183,0.0,10.0,0.0,0.0,53.0,0.0,7.0,0.0,0.0,150.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,0.0,47.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
21013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
